,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
33996,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial1,2.765
33997,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial2,2.663
33998,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial3,2.657
33999,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial4,2.619
34000,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial5,2.598
34001,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial6,2.643
34002,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial7,2.711
34003,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial8,2.769
34004,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial9,2.547
34005,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial10,2.679
34006,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial11,2.801
34007,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial12,2.631
34008,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial13,2.672
34009,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial14,2.584
34010,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial15,2.782
34011,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial16,2.668
34012,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial17,2.561
34013,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial18,2.69
34014,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial19,2.683
34015,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial20,2.692
34016,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial21,2.713
34017,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial22,2.706
34018,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial23,2.726
34019,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial24,2.792
34020,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial25,2.582
34021,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial26,2.692
34022,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial27,2.83
34023,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial28,2.714
34024,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial29,2.782
34025,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial30,2.737
34026,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial31,2.643
34027,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial32,2.763
34028,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial33,2.731
34029,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial34,2.723
34030,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial35,2.702
34031,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial36,2.709
34032,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial37,2.643
34033,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial38,2.737
34034,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial39,2.661
34035,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial40,2.726
34036,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial41,2.692
34037,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial42,2.85
34038,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial43,2.67
34039,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial44,2.782
34040,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial45,2.818
34041,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial46,2.763
34042,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial47,2.704
34043,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial48,2.808
34044,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial49,2.915
34045,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial50,2.75
34046,RJO_Anod_CONTROL,CONTROL,Block2,RANDOM,ANOD,Run13,Trial51,2.754
