,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
130967,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial1,2.766
130968,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial2,2.274
130969,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial3,2.709
130970,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial4,2.422
130971,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial5,2.471
130972,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial6,2.539
130973,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial7,2.334
130974,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial8,2.23
130975,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial9,2.318
130976,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial10,2.164
130977,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial11,2.425
130978,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial12,2.23
130979,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial13,2.246
130980,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial14,2.531
130981,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial15,2.25
130982,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial16,2.33
130983,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial17,2.23
130984,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial18,2.158
130985,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial19,2.468
130986,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial20,2.176
130987,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial21,2.305
130988,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial22,2.152
130989,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial23,2.215
130990,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial24,2.425
130991,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial25,2.188
130992,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial26,2.245
130993,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial27,2.292
130994,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial28,2.182
130995,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial29,2.524
130996,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial30,2.146
130997,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial31,2.384
130998,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial32,2.358
130999,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial33,2.301
131000,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial34,2.401
131001,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial35,2.093
131002,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial36,2.292
131003,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial37,2.471
131004,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial38,2.265
131005,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial39,2.193
131006,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial40,2.164
131007,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial41,2.334
131008,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial42,2.519
131009,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial43,2.269
131010,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial44,2.199
131011,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial45,2.508
131012,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial46,2.774
131013,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial47,2.362
131014,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial48,2.225
131015,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial49,2.314
131016,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial50,2.164
131017,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial51,2.301
131018,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial52,2.23
131019,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial53,2.158
131020,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial54,2.22
131021,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial55,2.187
131022,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial56,2.283
131023,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial57,2.326
131024,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial58,2.225
131025,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial59,2.193
131026,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial60,2.114
131027,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial61,2.225
131028,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial62,2.314
131029,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial63,2.164
131030,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial64,2.334
