,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
177852,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial1,2.702
177853,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial2,2.502
177854,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial3,2.041
177855,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial4,2.358
177856,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial5,2.438
177857,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial6,2.415
177858,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial7,1.832
177859,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial8,2.279
177860,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial9,2.373
177861,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial10,2.377
177862,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial11,1.806
177863,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial12,2.305
177864,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial13,2.516
177865,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial14,2.468
177866,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial15,2.079
177867,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial16,2.152
177868,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial17,1.832
177869,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial18,2.342
177870,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial19,2.435
177871,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial20,2.27
177872,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial21,2.365
177873,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial22,2.497
177874,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial23,2.539
177875,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial24,2.394
177876,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial25,2.508
177877,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial26,2.38
177878,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial27,1.819
177879,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial28,2.373
177880,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial29,2.539
177881,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial30,2.422
177882,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial31,1.857
177883,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial32,2.322
177884,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial33,1.924
177885,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial34,2.456
177886,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial35,2.377
177887,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial36,1.806
177888,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial37,2.334
177889,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial38,2.491
177890,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial39,2.444
177891,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial40,1.944
177892,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial41,2.35
177893,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial42,2.58
177894,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial43,2.334
177895,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial44,2.418
177896,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial45,1.748
177897,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial46,2.483
177898,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial47,2.246
177899,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial48,1.716
177900,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial49,2.405
177901,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial50,2.425
177902,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial51,2.373
177903,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial52,2.697
177904,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial53,1.869
177905,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial54,2.549
177906,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial55,2.408
177907,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial56,2.114
177908,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial57,2.394
177909,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial58,2.791
177910,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial59,2.679
177911,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial60,2.362
177912,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial61,1.763
177913,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial62,2.384
177914,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial63,2.405
177915,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial64,2.408
177916,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial65,2.114
177917,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial66,2.422
177918,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial67,1.954
177919,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial68,2.354
177920,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial69,2.292
177921,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial70,1.857
177922,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial71,2.412
177923,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial72,1.832
177924,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial73,2.401
177925,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial74,2.314
177926,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial75,2.369
177927,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial76,2.394
177928,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial77,2.338
177929,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial78,2.447
177930,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial79,1.857
177931,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial80,2.526
177932,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial81,2.405
177933,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial82,2.577
