,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
35451,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial1,3.061
35452,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial2,2.665
35453,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial3,2.593
35454,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial4,2.639
35455,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial5,2.649
35456,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial6,2.516
35457,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial7,2.753
35458,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial8,2.58
35459,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial9,2.593
35460,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial10,2.551
35461,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial11,2.549
35462,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial12,2.709
35463,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial13,2.593
35464,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial14,2.551
35465,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial15,2.483
35466,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial16,2.584
35467,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial17,2.542
35468,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial18,2.577
35469,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial19,2.641
35470,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial20,2.549
35471,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial21,2.649
35472,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial22,2.627
35473,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial23,2.589
35474,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial24,2.526
35475,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial25,2.524
35476,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial26,2.631
35477,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial27,2.833
35478,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial28,2.516
35479,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial29,2.513
35480,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial30,2.491
35481,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial31,2.625
35482,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial32,2.566
35483,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial33,2.631
35484,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial34,2.516
35485,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial35,2.491
35486,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial36,2.513
35487,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial37,2.465
35488,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial38,2.591
35489,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial39,2.587
35490,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial40,2.405
35491,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial41,2.6
35492,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial42,2.425
35493,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial43,2.732
35494,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial44,2.697
35495,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial45,2.425
35496,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial46,2.497
35497,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial47,2.559
35498,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial48,2.659
35499,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial49,2.653
35500,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial50,2.519
35501,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial51,2.718
35502,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial52,2.435
35503,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial53,2.604
35504,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial54,2.542
35505,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial55,2.474
35506,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial56,2.69
35507,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial57,2.587
35508,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial58,2.582
35509,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial59,2.519
35510,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial60,2.497
35511,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial61,2.539
35512,SRH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run2,Trial62,2.627
