,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
85678,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial1,2.844
85679,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial2,2.539
85680,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial3,2.422
85681,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial4,2.578
85682,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial5,2.591
85683,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial6,2.354
85684,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial7,2.491
85685,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial8,2.22
85686,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial9,2.613
85687,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial10,2.391
85688,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial11,2.471
85689,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial12,2.447
85690,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial13,2.338
85691,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial14,2.401
85692,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial15,2.48
85693,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial16,2.519
85694,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial17,2.757
85695,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial18,2.35
85696,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial19,2.415
85697,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial20,2.462
85698,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial21,2.415
85699,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial22,2.511
85700,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial23,2.358
85701,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial24,2.444
