,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
135967,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial1,2.236
135968,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial2,1.982
135969,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial3,2.134
135970,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial4,1.892
135971,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial5,2.017
135972,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial6,2.041
135973,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial7,1.845
135974,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial8,1.973
135975,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial9,1.845
135976,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial10,2.086
135977,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial11,2.086
135978,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial12,1.881
135979,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial13,2.17
135980,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial14,1.954
135981,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial15,1.991
135982,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial16,2.187
135983,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial17,1.903
135984,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial18,2.134
135985,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial19,1.973
135986,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial20,2.22
135987,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial21,2.5
135988,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial22,2.539
135989,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial23,2.861
135990,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial24,2.009
135991,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial25,1.964
135992,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial26,2.0
135993,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial27,1.881
135994,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial28,2.065
135995,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial29,2.342
135996,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial30,2.1
135997,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial31,2.009
135998,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial32,2.31
135999,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial33,2.204
136000,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial34,1.934
136001,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial35,1.892
136002,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial36,2.009
136003,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial37,2.152
136004,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial38,2.17
136005,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial39,1.954
136006,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial40,1.914
136007,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial41,1.954
136008,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial42,1.914
136009,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial43,2.5
136010,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial44,1.964
136011,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial45,1.716
136012,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial46,1.881
136013,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial47,2.204
136014,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial48,1.924
136015,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial49,1.881
136016,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial50,1.934
136017,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial51,2.486
136018,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial52,2.057
136019,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial53,2.017
136020,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial54,1.903
136021,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial55,1.945
136022,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial56,2.245
136023,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial57,2.009
136024,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial58,1.792
136025,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial59,2.176
136026,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial60,2.58
136027,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial61,2.225
136028,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial62,1.892
136029,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial63,1.934
136030,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial64,2.152
136031,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial65,2.0
136032,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial66,2.146
136033,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial67,1.819
136034,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial68,2.033
136035,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial69,1.991
136036,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial70,2.14
136037,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial71,2.204
136038,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial72,1.845
136039,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial73,1.903
136040,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial74,1.857
136041,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial75,1.982
136042,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial76,2.182
136043,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial77,2.1
136044,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial78,2.121
136045,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial79,2.373
136046,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial80,2.1
136047,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial81,2.215
136048,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial82,1.763
136049,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial83,1.881
136050,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial84,1.832
136051,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial85,2.033
136052,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial86,1.924
136053,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial87,1.881
136054,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial88,1.924
136055,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial89,1.892
136056,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial90,2.127
136057,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial91,2.362
136058,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial92,2.079
136059,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial93,2.782
136060,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial94,2.288
136061,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial95,1.845
136062,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial96,1.903
136063,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial97,2.017
136064,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial98,2.187
136065,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial99,1.792
136066,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial100,1.945
136067,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial101,2.107
136068,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial102,2.334
136069,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial103,2.025
136070,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial104,2.412
136071,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial105,2.568
136072,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial106,1.903
136073,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial107,2.017
136074,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial108,2.246
136075,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial109,1.924
136076,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial110,1.778
136077,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial111,2.072
136078,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial112,1.881
136079,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial113,2.176
136080,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial114,2.086
136081,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial115,1.914
136082,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial116,1.954
136083,SRH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial117,2.114
