,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
180699,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial1,1.991
180700,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial2,2.025
180701,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial3,2.057
180702,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial4,1.954
180703,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial5,2.057
180704,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial6,2.134
180705,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial7,2.041
180706,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial8,2.33
180707,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial9,1.954
180708,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial10,1.914
180709,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial11,1.763
180710,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial12,2.17
180711,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial13,2.086
180712,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial14,2.049
180713,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial15,2.017
180714,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial16,2.049
180715,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial17,2.176
180716,SRH_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial18,2.093
