,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
39812,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial1,2.75
39813,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial2,2.494
39814,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial3,2.537
39815,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial4,2.444
39816,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial5,2.418
39817,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial6,2.471
39818,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial7,2.394
39819,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial8,2.398
39820,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial9,2.453
39821,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial10,2.274
39822,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial11,2.318
39823,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial12,2.326
39824,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial13,2.297
39825,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial14,2.369
39826,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial15,2.241
39827,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial16,2.322
39828,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial17,2.33
39829,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial18,2.301
39830,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial19,2.342
39831,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial20,2.241
39832,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial21,2.255
39833,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial22,2.301
39834,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial23,2.146
39835,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial24,2.354
39836,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial25,2.255
39837,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial26,2.27
39838,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial27,2.199
39839,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial28,2.255
39840,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial29,2.225
39841,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial30,2.274
39842,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial31,2.245
39843,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial32,2.26
39844,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial33,2.086
39845,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial34,2.25
39846,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial35,2.127
