,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
138661,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial1,2.072
138662,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial2,2.1
138663,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial3,2.17
138664,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial4,2.269
138665,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial5,2.152
138666,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial6,2.121
138667,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial7,2.14
138668,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial8,2.107
138669,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial9,2.265
138670,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial10,2.034
138671,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial11,2.121
138672,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial12,2.744
138673,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial13,2.35
138674,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial14,2.412
138675,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial15,2.938
138676,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial16,2.425
138677,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial17,2.193
138678,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial18,2.21
138679,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial19,2.657
138680,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial20,2.431
138681,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial21,2.158
138682,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial22,2.072
138683,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial23,2.193
138684,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial24,2.057
138685,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial25,2.025
138686,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial26,2.049
138687,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial27,2.182
138688,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial28,2.152
138689,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial29,2.065
138690,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial30,2.025
138691,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial31,1.991
138692,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial32,2.14
138693,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial33,2.158
138694,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial34,2.072
138695,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial35,1.964
138696,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial36,2.17
138697,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial37,2.14
138698,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial38,2.158
138699,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial39,2.072
138700,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial40,1.973
138701,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial41,2.009
138702,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial42,2.146
138703,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial43,2.209
138704,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial44,1.945
138705,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial45,2.107
138706,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial46,1.845
138707,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial47,2.158
138708,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial48,2.468
138709,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial49,2.009
138710,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial50,2.101
138711,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial51,2.0
138712,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial52,2.146
138713,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial53,2.057
138714,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial54,2.017
138715,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial55,2.049
138716,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial56,2.017
138717,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial57,2.158
138718,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial58,2.22
138719,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial59,2.086
138720,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial60,1.982
138721,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial61,2.079
138722,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial62,2.204
138723,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial63,2.33
138724,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial64,1.944
138725,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial65,2.107
138726,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial66,1.944
138727,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial67,2.204
138728,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial68,2.465
138729,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial69,2.121
138730,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial70,2.093
138731,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial71,2.114
138732,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial72,2.516
138733,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial73,2.334
138734,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial74,2.086
138735,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial75,2.049
138736,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial76,2.017
138737,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial77,2.107
138738,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial78,2.127
138739,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial79,2.093
138740,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial80,2.12
138741,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial81,2.086
138742,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial82,2.158
138743,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial83,2.297
138744,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial84,1.954
138745,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial85,2.114
138746,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial86,2.025
138747,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial87,2.107
138748,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial88,2.334
138749,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial89,2.086
138750,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial90,2.107
138751,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial91,2.017
138752,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial92,2.245
138753,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial93,2.751
138754,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial94,2.398
138755,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial95,2.425
138756,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial96,2.093
138757,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial97,2.114
138758,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial98,2.14
138759,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial99,2.246
138760,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial100,2.292
138761,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial101,2.079
138762,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial102,2.152
138763,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial103,2.297
138764,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial104,2.187
138765,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial105,2.152
138766,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial106,2.17
138767,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial107,2.14
138768,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial108,2.204
138769,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial109,2.009
138770,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial110,2.1
138771,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial111,2.67
138772,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial112,2.274
138773,STF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial113,2.35
