,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
183060,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial1,2.788
183061,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial2,2.539
183062,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial3,2.593
183063,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial4,2.489
183064,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial5,2.415
183065,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial6,2.418
183066,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial7,2.444
183067,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial8,2.471
183068,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial9,2.447
183069,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial10,2.447
183070,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial11,2.425
183071,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial12,2.519
183072,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial13,2.425
183073,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial14,2.398
183074,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial15,2.401
183075,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial16,2.241
183076,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial17,2.462
183077,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial18,2.354
183078,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial19,2.753
