,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
43728,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial1,2.817
43729,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial2,2.587
43730,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial3,2.564
43731,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial4,2.519
43732,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial5,2.497
43733,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial6,2.613
43734,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial7,2.531
43735,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial8,2.604
43736,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial9,2.563
43737,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial10,2.453
43738,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial11,2.598
43739,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial12,2.516
43740,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial13,2.609
43741,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial14,2.587
43742,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial15,2.431
43743,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial16,2.502
43744,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial17,2.48
43745,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial18,2.564
43746,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial19,2.497
43747,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial20,2.425
43748,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial21,2.45
43749,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial22,2.629
43750,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial23,2.513
43751,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial24,2.571
43752,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial25,2.483
43753,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial26,2.526
43754,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial27,2.502
43755,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial28,2.582
43756,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial29,2.519
43757,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial30,2.45
43758,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial31,2.577
43759,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial32,2.554
43760,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial33,2.511
43761,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial34,2.489
43762,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial35,2.412
43763,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial36,2.489
43764,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial37,2.511
43765,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial38,2.412
43766,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial39,2.465
43767,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial40,2.532
43768,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial41,2.785
43769,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial42,2.788
43770,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial43,2.577
43771,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial44,2.573
43772,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial45,2.486
43773,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial46,2.486
43774,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial47,2.486
43775,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial48,2.508
43776,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial49,2.566
43777,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial50,2.431
43778,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial51,2.48
43779,TXM_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial52,2.48
