,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
140796,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial1,2.84
140797,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial2,2.489
140798,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial3,2.571
140799,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial4,2.584
140800,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial5,2.58
140801,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial6,2.645
140802,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial7,2.589
140803,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial8,2.566
140804,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial9,2.582
140805,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial10,2.474
140806,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial11,2.613
140807,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial12,2.788
140808,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial13,2.519
140809,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial14,2.575
140810,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial15,2.489
140811,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial16,2.606
140812,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial17,2.526
140813,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial18,2.734
140814,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial19,2.551
140815,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial20,2.486
140816,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial21,2.724
140817,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial22,2.494
140818,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial23,2.716
140819,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial24,2.708
140820,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial25,2.513
140821,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial26,2.685
