,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
185963,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial1,2.611
185964,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial2,2.571
185965,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial3,2.651
185966,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial4,2.706
185967,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial5,2.529
185968,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial6,2.483
185969,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial7,2.547
185970,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial8,2.649
185971,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial9,2.575
185972,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial10,2.531
185973,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial11,2.465
185974,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial12,2.82
185975,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial13,2.589
185976,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial14,2.529
185977,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial15,2.547
185978,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial16,2.5
185979,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial17,2.542
185980,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial18,2.577
185981,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial19,2.513
185982,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial20,2.573
185983,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial21,2.568
185984,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial22,2.526
185985,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial23,2.633
185986,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial24,2.447
185987,TXM_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial25,2.447
