,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
175304,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial1,3.00346053210951
175305,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial2,2.96942057214102
175306,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial3,3.05918461763137
175307,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial4,3.00688943337488
175308,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial5,3.15716653707713
175309,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial6,3.0990034702154
175310,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial7,3.04373941983177
175311,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial8,2.99736890740655
175312,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial9,3.16553811021988
175313,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial10,3.12645935926782
175314,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial11,3.04376298032411
175315,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial12,3.00432567370672
175316,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial13,3.11396005561954
175317,VGC_Vertex_PATIENT,PATIENT,Block3,RANDOM,VERTEX,Run25,Trial14,3.0245020868399
