,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
45570,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial1,2.821
45571,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial2,2.575
45572,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial3,2.672
45573,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial4,2.633
45574,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial5,2.516
45575,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial6,2.593
45576,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial7,2.511
45577,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial8,2.668
45578,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial9,2.663
45579,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial10,2.534
45580,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial11,2.623
45581,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial12,2.456
45582,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial13,2.708
45583,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial14,2.641
45584,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial15,2.459
45585,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial16,2.695
45586,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial17,2.778
45587,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial18,2.719
45588,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial19,2.668
45589,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial20,2.5
45590,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial21,2.577
45591,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial22,2.365
45592,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial23,2.704
45593,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial24,2.621
45594,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial25,2.58
45595,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial26,2.595
45596,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial27,2.362
45597,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial28,2.766
45598,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial29,2.58
45599,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial30,2.497
45600,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial31,2.645
45601,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial32,2.532
45602,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial33,2.604
45603,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial34,2.561
45604,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial35,2.539
45605,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial36,2.611
45606,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial37,2.511
45607,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial38,2.685
45608,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial39,2.521
45609,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial40,2.9
45610,VXE_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial41,2.641
