,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
145338,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial1,2.769
145339,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial2,2.505
145340,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial3,2.667
145341,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial4,2.731
145342,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial5,2.546
145343,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial6,2.598
145344,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial7,2.27
145345,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial8,2.734
145346,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial9,2.551
145347,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial10,2.35
145348,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial11,2.531
145349,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial12,2.164
145350,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial13,2.494
145351,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial14,2.335
145352,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial15,2.23
145353,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial16,2.483
145354,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial17,2.1
145355,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial18,2.391
145356,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial19,2.365
145357,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial20,2.025
145358,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial21,2.529
145359,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial22,2.107
145360,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial23,2.468
145361,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial24,2.22
145362,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial25,2.093
145363,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial26,2.462
145364,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial27,2.384
145365,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial28,2.415
145366,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial29,2.33
145367,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial30,1.955
145368,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial31,2.75
145369,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial32,2.079
145370,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial33,2.544
145371,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial34,2.236
145372,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial35,2.107
145373,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial36,2.534
145374,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial37,2.26
145375,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial38,2.45
145376,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial39,2.187
