,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
47209,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial1,2.781
47210,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial2,2.769
47211,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial3,2.706
47212,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial4,2.623
47213,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial5,2.694
47214,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial6,2.701
47215,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial7,2.679
47216,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial8,2.728
47217,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial9,2.582
47218,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial10,2.613
47219,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial11,2.728
47220,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial12,2.647
47221,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial13,2.777
47222,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial14,2.629
47223,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial15,2.685
47224,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial16,2.678
47225,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial17,2.657
47226,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial18,2.695
47227,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial19,2.843
47228,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial20,2.688
47229,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial21,2.709
47230,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial22,2.674
47231,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial23,2.635
47232,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial24,2.559
47233,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial25,2.742
47234,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial26,2.782
47235,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial27,2.711
47236,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial28,2.79
47237,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial29,2.647
47238,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial30,2.573
47239,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial31,2.737
47240,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial32,2.729
47241,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial33,2.748
47242,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial34,2.655
47243,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial35,2.665
47244,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial36,2.833
47245,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial37,2.956
47246,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial38,2.795
47247,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial39,2.739
47248,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial40,2.704
47249,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial41,2.724
47250,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial42,2.742
47251,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial43,2.826
47252,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial44,2.771
47253,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial45,2.604
47254,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial46,2.866
47255,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial47,2.647
47256,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial48,2.714
47257,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial49,2.617
