,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
145636,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial1,2.928
145637,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial2,2.676
145638,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial3,2.655
145639,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial4,2.794
145640,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial5,2.975
145641,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial6,2.74
145642,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial7,2.521
145643,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial8,2.791
145644,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial9,2.771
145645,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial10,2.75
145646,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial11,2.672
145647,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial12,2.635
145648,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial13,2.718
145649,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial14,2.76
145650,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial15,2.799
145651,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial16,2.702
145652,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial17,2.566
145653,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial18,2.734
145654,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial19,2.751
145655,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial20,2.754
145656,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial21,2.649
145657,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial22,2.593
145658,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial23,2.67
145659,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial24,2.694
145660,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial25,2.625
145661,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial26,2.838
145662,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial27,2.76
145663,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial28,2.641
145664,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial29,2.681
145665,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial30,2.862
145666,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial31,2.716
145667,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial32,2.544
145668,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial33,2.663
145669,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial34,2.788
145670,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial35,2.731
145671,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial36,2.667
145672,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial37,2.556
145673,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial38,2.641
145674,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial39,2.748
145675,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial40,2.728
145676,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial41,2.647
145677,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial42,2.534
145678,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial43,2.623
145679,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial44,2.838
145680,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial45,2.681
145681,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial46,2.659
145682,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial47,2.637
145683,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial48,2.647
145684,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial49,2.687
145685,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run4,Trial50,2.679
