,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
190354,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial1,2.848
190355,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial2,2.619
190356,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial3,2.629
190357,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial4,2.687
190358,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial5,2.679
190359,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial6,2.573
190360,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial7,2.623
190361,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial8,2.544
190362,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial9,2.615
190363,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial10,2.643
190364,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial11,2.568
190365,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial12,2.734
190366,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial13,2.589
190367,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial14,2.668
190368,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial15,2.596
190369,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial16,2.573
190370,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial17,2.606
190371,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial18,2.566
190372,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial19,2.58
190373,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial20,2.611
190374,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial21,2.606
190375,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial22,2.681
190376,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial23,2.643
190377,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial24,2.589
190378,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial25,2.681
190379,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial26,2.766
190380,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial27,2.678
190381,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial28,2.641
190382,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial29,2.695
190383,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial30,2.643
190384,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial31,2.653
190385,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial32,2.757
190386,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial33,2.667
190387,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial34,2.676
190388,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial35,2.668
190389,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial36,2.615
190390,VXP_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial37,2.688
