,RUN,AverageLogRT
0,Run1,2.593211610949301
1,Run2,2.5584674167457284
2,Run3,2.513728690247289
3,Run4,2.5050925779706663
4,Run5,2.4796520991020845
5,Run6,2.4690608311059368
6,Run7,2.4590169996586195
7,Run8,2.2758649545801872
8,Run9,2.334125345359536
9,Run10,2.579330003294242
10,Run11,2.2255675335073906
11,Run12,2.148482410513818
12,Run13,2.56441648361618
13,Run14,2.1709923743064983
14,Run15,2.212386799906822
15,Run16,2.0711187544501484
16,Run17,2.1806741207830775
17,Run18,2.0889822058889798
18,Run19,2.04853958243226
19,Run20,2.104854468691848
20,Run21,2.0735731091415124
21,Run22,2.451722089018332
22,Run23,2.020207055526966
23,Run24,2.0618748667702036
24,Run25,2.5903858518622025
25,Run26,2.445683799549255
26,Run27,2.1025708909834573
27,Run28,2.0443690721304586
28,Run29,2.0133454163219833
29,Run30,2.1416759707137296
30,Run31,2.0117187447099987
31,Run32,1.967560156979971
32,Run33,1.998849687678932
33,Run34,2.3621953359404064
34,Run35,2.0632439094076718
35,Run36,2.090212795801936
