,RUN,AverageLogRT
0,Run1,2.711775510204081
1,Run2,2.71284
2,Run3,2.6985400000000004
3,Run4,2.6799807692307693
4,Run5,2.6613888888888897
5,Run6,2.6606363636363635
6,Run7,2.6666981132075467
7,Run8,2.7120625000000005
8,Run9,2.6320877192982457
9,Run10,2.732840909090909
10,Run11,2.6498727272727276
11,Run12,2.6215517241379307
12,Run13,2.732291666666667
13,Run14,2.6192203389830513
14,Run15,2.583047619047618
15,Run16,2.5312058823529404
16,Run17,2.522144927536232
17,Run18,2.5684354838709673
18,Run19,2.497211267605634
19,Run20,2.448486842105263
20,Run21,2.4150759493670884
21,Run22,2.69158
22,Run23,2.491128571428572
23,Run24,2.344910112359551
24,Run25,2.7514444444444446
25,Run26,2.5843064516129033
26,Run27,2.450736842105263
27,Run28,2.37840243902439
28,Run29,2.3207294117647055
29,Run30,2.2903448275862073
30,Run31,2.26859793814433
31,Run32,2.2904946236559143
32,Run33,2.193454545454545
33,Run34,2.65762962962963
34,Run35,2.3395568181818187
35,Run36,2.2778387096774195
